#Hex Lattice Nodes
x_coor,y_coor
0.4,0.5
0.45,0.6
0.55,0.6
0.6,0.5
0.55,0.4
0.45,0.4
0.4,0.3
0.3,0.3
0.25,0.4
0.3,0.5
0.25,0.6
0.3,0.7
0.4,0.7
0.45,0.8
0.55,0.8
0.6,0.7
0.7,0.7
0.75,0.6
0.7,0.5
0.75,0.4
0.7,0.3
0.6,0.3
0.55,0.2
0.45,0.2
0.4,0.1
0.3,0.1
0.25,0.2
0.15,0.2
0.1,0.3
0.15,0.4
0.1,0.5
0.15,0.6
0.1,0.7
0.15,0.8
0.25,0.8
0.3,0.9
0.4,0.9
0.45,1
0.55,1
0.6,0.9
0.7,0.9
0.75,0.8
0.85,0.8
0.9,0.7
0.85,0.6
0.9,0.5
0.85,0.4
0.9,0.3
0.85,0.2
0.75,0.2
0.7,0.1
0.6,0.1
0.55,0
0.45,0
																																																							
